,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
307,baruun-urt,33.0,MN,1588647359,20.0,46.68,113.28,289.73,4.43
308,ponta do sol,75.0,PT,1588647363,68.0,32.67,-17.1,291.15,2.1
309,san patricio,69.0,MX,1588647364,83.0,19.22,-104.7,295.92,0.75
310,aksay,20.0,RU,1588647370,100.0,47.26,39.87,284.82,2.0
311,bodden town,4.0,KY,1588647372,79.0,19.28,-81.25,300.93,1.34
314,plettenberg bay,44.0,ZA,1588647378,78.0,-34.05,23.37,288.41,3.85
315,vostok,100.0,RU,1588647382,39.0,46.49,135.88,281.48,4.47
316,santa maria,100.0,BR,1588647193,93.0,-29.68,-53.81,287.91,3.27
317,kenora,75.0,CA,1588647384,48.0,49.82,-94.43,280.15,2.1
318,constitucion,87.0,CL,1588647388,85.0,-35.33,-72.42,287.26,2.39
320,port blair,97.0,IN,1588647397,66.0,11.67,92.75,303.7,3.57
321,prince rupert,20.0,CA,1588647141,69.0,54.32,-130.32,284.15,3.1
323,tupik,0.0,RU,1588647405,29.0,54.43,119.93,286.33,1.08
324,lorengau,98.0,PG,1588647412,87.0,-2.02,147.27,300.1,6.79
327,panjab,0.0,AF,1588647427,25.0,34.39,67.02,279.58,1.68
328,touros,40.0,BR,1588647213,100.0,-5.2,-35.46,297.15,2.6
329,los llanos de aridane,100.0,ES,1588647437,63.0,28.66,-17.92,291.15,4.1
330,proletarskiy,90.0,RU,1588647440,87.0,50.79,35.77,286.15,3.0
331,vila velha,40.0,BR,1588647445,83.0,-20.33,-40.29,294.15,2.1
334,rogaska slatina,5.0,SI,1588647451,76.0,46.24,15.64,285.15,0.5
335,manicore,33.0,BR,1588647453,94.0,-5.81,-61.3,299.15,1.0
336,gillette,1.0,US,1588647461,70.0,44.29,-105.5,279.26,4.1
337,saint george,1.0,US,1588647205,8.0,37.1,-113.58,300.15,5.1
341,portland,90.0,US,1588647324,71.0,45.52,-122.68,288.71,2.1
342,westport,0.0,US,1588647179,63.0,41.14,-73.36,283.15,5.6
343,ciudad bolivar,100.0,VE,1588647483,69.0,8.12,-63.55,301.28,6.9
344,batemans bay,0.0,AU,1588647322,61.0,-35.72,150.18,291.48,2.24
345,nishihara,75.0,JP,1588647485,88.0,26.18,127.76,302.15,3.6
346,geraldton,75.0,AU,1588647488,83.0,-28.77,114.6,295.15,4.6
347,carnarvon,11.0,AU,1588647492,69.0,-24.87,113.63,299.15,2.1
348,weiser,1.0,US,1588647493,19.0,44.25,-116.97,294.15,2.1
349,kortkeros,75.0,RU,1588647495,100.0,61.81,51.58,283.15,2.0
350,hereford,52.0,GB,1588647498,87.0,52.06,-2.71,279.82,0.45
351,saint-leu,33.0,RE,1588647498,73.0,-21.15,55.28,297.15,2.6
352,milkovo,100.0,RU,1588647501,72.0,54.72,158.62,276.17,3.03
353,lastoursville,100.0,GA,1588647502,88.0,-0.81,12.73,295.99,0.82
354,belaya gora,100.0,RU,1588647515,95.0,68.53,146.42,269.6,1.49
355,nago,75.0,JP,1588647521,83.0,26.59,127.98,301.15,5.7
358,alekseyevsk,100.0,RU,1588647531,41.0,57.84,108.35,286.04,3.22
361,dillon,1.0,US,1588647539,82.0,34.42,-79.37,292.15,2.6
362,walvis bay,0.0,NA,1588647540,38.0,-22.96,14.51,294.07,3.34
363,las guacamayas,97.0,MX,1588647541,80.0,18.02,-102.22,296.11,0.9
364,payo,45.0,ID,1588647542,64.0,-3.75,103.64,304.11,0.82
366,marawi,0.0,PH,1588647546,83.0,8.0,124.29,302.04,3.58
367,ca mau,5.0,VN,1588647548,46.0,9.18,105.15,308.94,0.72
370,san policarpo,99.0,PH,1588647554,74.0,12.18,125.51,302.84,3.81
371,meghri,87.0,AM,1588647555,40.0,38.9,46.24,291.13,2.87
372,huntsville,75.0,US,1588647350,83.0,34.73,-86.59,296.48,2.6
373,aklavik,20.0,CA,1588647557,40.0,68.22,-135.01,276.15,4.6
374,mao,74.0,ES,1588647561,93.0,39.89,4.27,289.15,1.5
375,san quintin,0.0,MX,1588647563,78.0,30.48,-115.95,291.34,5.77
376,north bend,90.0,US,1588647568,54.0,43.41,-124.22,286.15,3.1
378,wanning,32.0,CN,1588647578,67.0,18.8,110.4,303.08,6.2
379,avera,1.0,US,1588647580,73.0,33.19,-82.53,297.15,2.1
380,suzhou,100.0,CN,1588647582,89.0,31.31,120.62,294.82,1.21
381,lusaka,0.0,ZM,1588647584,67.0,-15.41,28.29,289.15,3.6
382,sangar,0.0,RU,1588647588,71.0,63.92,127.47,276.29,0.86
383,severomuysk,0.0,RU,1588647591,46.0,56.15,113.43,275.19,2.12
385,newport,95.0,GB,1588647341,82.0,51.59,-3.0,281.48,7.13
386,aniva,75.0,RU,1588647605,75.0,46.71,142.53,278.15,4.0
387,lata,69.0,PT,1588647608,88.0,40.16,-8.33,287.59,1.34
388,barauna,100.0,BR,1588647611,85.0,-5.08,-37.62,296.74,2.05
389,ust-tsilma,100.0,RU,1588647615,95.0,65.44,52.15,275.96,2.42
390,amnat charoen,45.0,TH,1588647617,42.0,15.86,104.63,308.46,2.74
391,orumiyeh,40.0,IR,1588647599,81.0,37.55,45.08,282.15,1.0
392,dourbali,100.0,TD,1588647625,42.0,11.81,15.86,301.44,1.94
393,fort william,10.0,GB,1588647628,78.0,56.82,-5.11,277.59,0.89
395,angoche,43.0,MZ,1588647633,78.0,-16.23,39.91,295.75,3.33
396,kinablangan,13.0,PH,1588647639,70.0,7.69,126.55,302.79,2.39
397,shimoda,40.0,JP,1588647644,73.0,34.67,138.95,297.59,2.1
398,astoria,90.0,US,1588647647,93.0,46.19,-123.83,283.71,2.6
399,bonavista,55.0,CA,1588647653,88.0,48.65,-53.11,273.71,1.34
400,tuatapere,89.0,NZ,1588647657,74.0,-46.13,167.68,280.68,5.01
401,kahului,40.0,US,1588647659,58.0,20.89,-156.47,301.15,11.3
402,petropavlovsk-kamchatskiy,90.0,RU,1588647660,100.0,53.05,158.65,275.15,6.0
403,souillac,20.0,MU,1588647664,88.0,-20.52,57.52,295.15,2.1
404,hay river,20.0,CA,1588647631,69.0,60.82,-115.8,274.15,5.7
405,claveria,0.0,PH,1588647669,58.0,18.61,121.08,305.93,0.77
406,sovetskaya gavan,78.0,RU,1588647671,72.0,48.97,140.29,276.87,4.04
407,rochegda,83.0,RU,1588647673,92.0,62.8,43.25,281.05,0.42
408,kisaran,72.0,ID,1588647677,83.0,2.98,99.62,302.19,1.02
412,gore,83.0,NZ,1588647689,81.0,-46.1,168.94,279.22,3.99
413,kencong,2.0,ID,1588647693,70.0,-8.28,113.37,302.83,1.82
414,kaeo,11.0,NZ,1588647695,52.0,-35.1,173.78,287.59,4.02
415,half moon bay,1.0,US,1588647448,66.0,37.46,-122.43,290.93,5.1
416,santo amaro da imperatriz,20.0,BR,1588647700,82.0,-27.69,-48.78,293.15,4.6
417,mount isa,0.0,AU,1588647655,15.0,-20.73,139.5,298.15,5.1
